2 	 14
2 	 17
2 	 35
2 	 47
6 	 13
6 	 35
6 	 47
13 	 35
13 	 47
14 	 35
14 	 47
17 	 35
17 	 47
18 	 35
18 	 47
18 	 55
18 	 57
20 	 35
20 	 47
20 	 55
20 	 57
21 	 35
21 	 47
21 	 55
21 	 57
23 	 35
23 	 43
23 	 47
23 	 52
23 	 55
23 	 58
31 	 47
32 	 47
35 	 43
35 	 45
35 	 46
35 	 47
35 	 49
35 	 52
35 	 55
35 	 57
35 	 58
35 	 60
39 	 47
46 	 60
47 	 55
47 	 57
47 	 58
47 	 60
2 	 14
2 	 17
2 	 35
2 	 47
6 	 13
6 	 35
6 	 47
13 	 35
13 	 47
14 	 35
14 	 47
17 	 35
17 	 47
18 	 35
18 	 47
18 	 55
18 	 57
20 	 35
20 	 47
20 	 55
20 	 57
21 	 35
21 	 47
21 	 55
21 	 57
23 	 35
23 	 43
23 	 47
23 	 52
23 	 55
23 	 58
31 	 47
32 	 47
35 	 43
35 	 45
35 	 46
35 	 47
35 	 49
35 	 52
35 	 55
35 	 57
35 	 58
35 	 60
39 	 47
46 	 60
47 	 55
47 	 57
47 	 58
47 	 60
2 	 14
2 	 17
2 	 35
2 	 47
6 	 13
6 	 35
6 	 47
13 	 35
13 	 47
14 	 35
14 	 47
17 	 35
17 	 47
18 	 35
18 	 47
18 	 55
18 	 57
20 	 35
20 	 47
20 	 55
20 	 57
21 	 35
21 	 47
21 	 55
21 	 57
23 	 35
23 	 43
23 	 47
23 	 52
23 	 55
23 	 58
31 	 47
32 	 47
35 	 43
35 	 45
35 	 46
35 	 47
35 	 49
35 	 52
35 	 55
35 	 57
35 	 58
35 	 60
39 	 47
46 	 60
47 	 55
47 	 57
47 	 58
47 	 60
2 	 14
2 	 17
2 	 35
2 	 47
6 	 13
6 	 35
6 	 47
13 	 35
13 	 47
14 	 35
14 	 47
17 	 35
17 	 47
18 	 35
18 	 47
18 	 55
18 	 57
20 	 35
20 	 47
20 	 55
20 	 57
21 	 35
21 	 47
21 	 55
21 	 57
23 	 35
23 	 43
23 	 47
23 	 52
23 	 55
23 	 58
31 	 47
32 	 47
35 	 43
35 	 45
35 	 46
35 	 47
35 	 49
35 	 52
35 	 55
35 	 57
35 	 58
35 	 60
39 	 47
46 	 60
47 	 55
47 	 57
47 	 58
47 	 60
